"Item","Description","Cost","Price"
"7297074","VALVE, CONTROL",1409.35,2417.61
"7297080","VALVE, CONTROL",1491.01,2546.70
"7297170","TUBELINE, H.F.",50.94,96.79
"7297322","SENSOR, FUEL",33.74,94.48
"7297323","SENSOR, FUEL",33.40,93.53
"7297423","MUFFLER",1264.81,1976.27
"7298210","BEARING, CARRIER",436.75,786.08
"7299199","PLATE, MOUNTING",28.32,92.04
"7299300","MOTOR, DRIVE",2946.43,4649.85
"7299300REM","MOTOR, DRIVE",3302.78,4954.17
"7299301","MOTOR, DRIVE 2-SPEED",3015.65,4839.47
"7299301REM","MOTOR, DRIVE",2261.74,3594.40
"7299719REM","DRIVE MOTOR",1966.11,2725.43
"7299911","HOSE, HYD ASSY",51.90,98.61
"7300252","HOSE HYDRAULIC FORMED",36.70,71.96
"7300368","TUBELINE, HYD",27.59,77.26
"7301022","SCREW, KNOB",5.67,25.52
"7301237","HARNESS, CAB DLX",759.80,1367.53
"7301672","COIL SOLENOID",43.14,68.08
"7302123","KIT, AUGER PIN",34.33,96.14
"7302291","KIT, BELT TENSIONER",106.62,202.61
"7302293","KIT, PIVOT BOB-TACH LOWER",23.66,45.37
"7302297","KIT, BOB-TACH UPPER (M-SERIES)",8.46,25.42
"7302298","KIT, BOBTACH UPPER",8.03,23.79
"7302481","MANIFOLD, EXHAUST",138.69,249.62
"7302828","DECAL, LOGO/MODEL S570 LH",12.63,41.05
"7302829","DECAL, LOGO/MODEL RH",12.63,41.05
"7302846","T650 DECAL UPRIGHT LH",13.76,23.72
"7302925","KIT, BOOM WORK LIGHT",175.40,315.69
"7302928","KIT, REAR MIRROR FLAT",92.98,176.67
"7303043","SENSOR, DEF ASSY",714.87,1286.67
"7303045","SENSOR, DEF ASSY",714.87,1286.67
"7303046","TANK, DEF ASSY AWS",581.60,1046.80
"7303047","SENDER, ASSY DEF",714.87,1230.65
"7303206","GUARD, CYLINDER BOB-TACH",12.67,41.18
"7304511","CAB HARNESS",893.12,1488.54
"7304592","ASSY CAB",3121.71,5405.29
"7304852","VALVE, CARTRIDGE",100.61,191.16
"7305029","BATTERY, WET 360 CCA",79.14,150.37
"7305030","BATTERY, 650 CCA",105.18,189.31
"7305033","BATTERY, 760 CCA",115.99,208.77
"7305038","BATTERY, 540 CCA",76.59,145.53
"7305052","BATTERY, 400 CCA",107.41,193.32
"7305718EF","TIRE, STANDARD DUTY 12X16.5 12 PLY",161.45,269.08
"7305995","HARNESS, JUMPER SENDER DEF",25.31,70.88
"730630","GROMMET",2.51,13.81
"7306819","CIRCLIP",2.51,11.51
"7307186","ACTUATOR, THROTTLE",445.51,801.85
"7307224","CYLINDER, BOB-TACH",353.52,636.29
"7307658","KIT, FAN REVERSING",720.08,1296.14
"7308521","KIT, KEYLESS",254.80,458.60
"7308633","COVER, DASH",247.09,444.73
"7308642","SHOCK, REAR",97.91,186.03
"7308659","VALVE, PROPORTIONAL",130.99,235.76
"7308721","SEAL, GASKET",75.37,143.21
"7308725","MOTOR, DRIVE",2481.82,3649.74
"7308725REM","MOTOR, DRIVE",1861.37,2737.31
"7308796","LIGHT, REAR",27.92,78.19
"7308860","HOSE, HYD ASSY",37.84,103.39
"7308861","HOSE, HYD ASSY",35.30,96.44
"7308863","HYDRAULIC HOSE ASSEMBLY",68.76,128.86
"7309088","TENSIONER, DRIVE BELT",54.54,103.63
"7309469","KIT, SEAL",13.60,27.40
"7309470","KIT, SEAL",13.60,44.20
"7309889","BOOT, SEAL LH",239.05,430.26
