Item,Description,Cost,Price
6673045,SPRING,17.5,54.94
6673046,HANDLE,11.19,31.91
6673152,PISTON KIT,232.57,354.86
6673153,COVER,45.11,127.5
6673157,"INJECTOR,FUEL",303.18,485.35
6673160,CLAMP,0.99,2.3000000000000003
6673163,"ROD, SHORT STROKE",62.09,116.62
6673169,FLANGE,47.55,93.53999999999999
6673170,MANIFOLD,472.94,806.73
6673171,BOLT,2.01,16.07
6673188,SEAL KIT,4.94,20.41
6673192,FISHTAIL,13.48,56.55
6673195,GASKET,6.25,11.29
6673200,FUSE BLOCK,17.92,53.76
6673213,"KIT, SEAL",7.35,27.06
6673219,"VALVE, RELIEF",90.16,169.32999999999998
6673223,CAP,43.74,119.30000000000001
6673228,"BEARING, CONE",35.28,87.09
6673229,BRG CUP,21.62,63.650000000000006
6673230,BRG CUP,25.57,74.4
6673231,SEAL,16.28,48.39
6673232,GASKET,7.16,21.9
6673233,GASKET,6.53,16.61
6673234,GASKET,6.22,26.840000000000003
6673236,"RING, RTN",3.03,14.96
6673334,"EDGE, CUTTING BOLT ON 71""",74.94,127.86
6673430,"MOTOR, HYD",616.62,1023.3799999999999
6673598,RETAINER RING,13.23,29.200000000000003
6673602,"PIN,RAM",17.62,36.97
6673603,PIN,13.15,35.22
6673606,"EDGE, CUTTING BOLT-ON 96""",104.77,172.31
6673607,SPRING,29.74,74.3
6673608,"CYLINDER, HYD",369.25,619.59
6673609,"KIT, MARKER",28.05,76.84
6673609EF,"KIT, MARKER",15.08,48.18
6673614,BLADE,1048.95,1553.03
6673618,SEAL KIT,36.44,62.58
6673619,"HEAD, CYL HYD",105.39,159.45
6673623,BRACE,28.7,103.44
6673624,DROP ROD,15.7,42.089999999999996
6673626,WING ASSY,294.52,464.56999999999994
6673630,HINGE,30.51,71.82000000000001
6673631,HINGE,27.09,69.41
6673632,HINGE,13.03,60.48
6673633,HINGE,16.03,60.19
6673634,"EDGE,  CUTTING BOLT-ON 84""",91.87,186.22
6673710,"BEARING, NEEDLE",11.28,35.71
6673735,CYLINDER,440.76,538.44
6673752,"FILTER, AIR OUTER ENG",12.96,20.44
6673753,"FILTER, AIR INNER ENG",11.03,19.55
6673757,"CONTROLLER, AUX CONTROL",599.67,987.1999999999999
6673758,"SHOCK, GAS",51.78,166.25
6673780,SPROCKET,38.06,79.34
6673789,"BEARING, ROLLER",22.07,45.35
6673828,"HOSE, HYD ASSY",51.07,140.76
6673877,COUPLER,91.1,191.58
6673880,O RING,2.97,11.21
6673885,PIN,1.53,7.069999999999999
6673911,"PUMP, GEAR",793.09,1339.58
6673916,"PUMP, GEAR",1069.26,1747.11
6673918,"PUMP,GEAR DOUBLE",916.53,1520.04
6673952,SPRING,1.64,10.51
6673954,"HOSE, HYD ASSY",79.03,207.33
6673959,BPV VALVE,474.83,783.6600000000001
6673962,HOSE,10.73,34.29
